package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
MainView,MainView,1,1,1,0,0,0,0,0,1,1,
AndroidOnly,AndroidOnly,1,1,1,0,0,0,0,0,1,1,
App,App,1,1,1,0,0,0,0,0,1,1,
TestCommon,TestCommon,1,0,1,0,0,0,0,0,1,1,
